Key,Description,Standard,fr
SAY.Flowchart.7.Mimi,,"Hello~, thank you for calling Dermimi's! You're speaking with Mimi.","Bonjour~, Merci d'avoir appellé Dermimi's ! Vous parlez avec Mimi."
SAY.Flowchart.8.,,"{i}Today is another day of work at my crafty hobby-turned-business, run out of the first floor of my house.{wc}Right at the morning's start, my phone had begun to ring, and I'd accepted it with giddy excitement that someone was already reaching out to place an order.","{i}Aujourd'hui est un nouvelle journée de travail à mon hobbie-créatif-devenu-business, géré du rez-de-chaussé de chez moi.{wc}Dès le début de la matinée, mon téléphone s’était mis à sonner, et je l’avais décroché , tout excitée à l’idée que quelqu’un cherchait déjà à passer commande."
SAY.Flowchart.9.Customer,,"Mimi, right?{wc}I heard you took orders of animals.","Mimi, c'est bien ça ?{wc}J'ai cru comprendre que vous vous occupiez d'animaux."
SAY.Flowchart.10.Mimi,,"Oh, sure! I specialize in stuffing animals.","Oh, c'est ça ! Je me spécialise dans le rembourrage d'animaux."
SAY.Flowchart.11.Customer,,"Excellent... Though I must say, this is going to be a larger project. Are you up for it?","Parfait... Mais je dois vous prévenir, ça va être un projet assez important. Vous pouvez le faire ?"
SAY.Flowchart.12.Mimi,,Of course! I'm the best around when it comes to this craft. Leave it to me!,Évidemment ! Je suis la meilleure dans mon domaine. Faites-moi confiance !
SAY.Flowchart.13.,,"{i}The call ends, and I survey the materials I have to use for this job.{wc}Scissors, thread, stuffing... I have everything I'll need.","{i}L'appel se termine, et je rassemble les matériaux dont j'ai besoin pour ce projet.{wc}Ciseaux, fils, rembourrage... J'ai tout ce qui me faut."
SAY.Flowchart.14.Mimi,,"Well, I better get right to work!","Bon, je ferais mieux de me mettre au travail !"
SAY.Flowchart.837.,,"{i}I kiss her a third time, this time for longer. My mouth tingles, as if tiny little things were crawling in. It’s itchy.","{i}Je l'embrasse une troisième fois, cette fois-ci plus longtemps. Ma bouche me chatouille, comme si de petites choses s'y faufilaient. Ça picote."
SAY.Flowchart.839.Domo,,"We’ll be here forever, right? {wi}Always?","On restera ici pour toujours, pas vrai ? {wi}À jamais ?"
SAY.Flowchart.840.Mimi,,Yes! Yesyesyesyes!!!,Oui! Ouiouiouioui !!!
SAY.Flowchart.841.Domo,,Promise?,Promis ?
SAY.Flowchart.842.Mimi,,"I promise! Us, together, always! {wi}I love you! My Domo!","Promis ! Nous, ensemble, pour toujours ! {wi}Je t'aime ! Ma Domo !"
SAY.Flowchart.843.Domo,,I promise to make all your favorite dishes every day.,Je te promets de préparer tes plats favoris tous les jours.
SAY.Flowchart.844.Mimi,,I promise we will watch only the TV shows you like!,Je te promets qu'on regardera seulement les émissions que tu aimes !
SAY.Flowchart.846.,,"{i}Domo turns away shyly, as if trying to conceal her feelings.{wc}However, her face betrays her as she turns beet red and smiles ear to ear.","{i}Domo détourne le regard timidement, comme pour essayer de retenir ses sentiments.{wc}Cependant, son visage l'a trahi alors qu'il devient tout rouge avec un sourire jusqu'aux oreilles."
SAY.Flowchart.847.Domo,,..Mimi...,..Mimi...
SAY.Flowchart.849.Mimi,,What’s wrong? Did I do something wrong? Are you okay?,Qu'est-ce qu'il y a ? J'ai fait quelque chose de mal ? Ça va ?
SAY.Flowchart.850.Domo,,I love you.,Je t'aime.
SAY.Flowchart.852.Mimi,,I love you too!! SO MUCH!,Je t'aime aussi !! TELLEMENT !
SAY.Flowchart.853.Domo,,Will you... can we get married? Will you marry me??,Veux-tu... est-ce qu'on peut se marier ? Veux-tu m'épouser ??
SAY.Flowchart.854.Mimi,,ABSOLUTELY!!,ABSOLUMENT !!
SAY.Flowchart.856.Domo,,"Mimi... I love you so much, Mimi...{wc}I don’t have a ring, but you can take a piece of my hair and wrap it around your finger like an engagement ring. Is that okay?","Mimi... Je t'aime si fort, Mimi...{wc}Je n'ai pas de bague, mais tu peux prendre un de mes cheveux et l'entourer autour de ton doigt comme une bague de fiancaille. Ça ne te dérange pas ?"
SAY.Flowchart.858.Mimi,,"Domo, I don’t care. This is the best ring I could’ve gotten from you.","Domo, je m'en fiche. C'est la meilleure bague que j'aurais pu recevoir de ta part."
SAY.Flowchart.860.Domo,,"I’m sorry. I should’ve planned this better. I... I just couldn’t help it. I’m yours, for the rest of eternity...","Je suis désolée. J'aurais dû mieux me préparer. Je... Je ne pouvais juste plus me retenir. Je t'appartiens, pour le reste de l'éternité..."
SAY.Flowchart.861.Mimi,,"Domo, having a piece of you on me makes me the happiest I could ever be. I love you I love you I love you I love you I love you I love you I LOVE YOU!!!","Domo, avoir un bout de toi sur moi est le comble du bonheur. Je t'aime je t'aime je t'aime je t'aime je t'aime je t'aime JE T'AIME !!!"
SAY.Flowchart.865.,,"{i}I hug her eternal body close to mine.{wc}Her skin is cold, and it numbs my mind like ice, sweet whispers of her voice growing louder and louder as my mind shuts down.","{i}Je serre contre moi son corps éternel. Sa peau est froide, et elle engourdit mon esprit comme de la glace, tandis que les doux murmures de sa voix deviennent de plus en plus forts, jusqu’à ce que mon esprit s’éteigne."
SAY.Flowchart.866.,,"{i}I’m so happy. I promise, Domo, we will be together forever.","{i}Je suis tellement heureuse. Je te promets, Domo, on restera ensemble pour toujours et à jamais."
SAY.Flowchart.867.,,{i}We'll stay together forever and ever.,{i}On restera ensemble pour toujours et à jamais.
SAY.Flowchart.869.,,{i}We’ll never have to worry about a thing from now on.{wc}I promise to be with you forever...,{i}On a plus besoin de s'inquièter pour quoi que ce soit.{wc}Je promets de rester à tes côtés pour toujours...
SAY.Flowchart.871.,,{i}and forever... and ever...,{i}et toute l'éternité...
SAY.Flowchart.873.,,{i}forever and ever and ever...,"{i}Pour toujours et à jamais, encore et encore..."
SAY.Flowchart.875.,,{i}and forever and ever and ever together. {wi}I love you.,{i}Et encore et encore et encore ensemble. {wi}Je t'aime.
CHARACTER.Domo,,Domo,Domo
CHARACTER.Mimi,,Mimi,Mimi
CHARACTER.Customer,,Customer,Cliente
