Key,Description,Standard,fr
SAY.Flowchart.656.Mimi,,"Domo! {wi}Oh, my precious Domo! You're fixed! You're complete again!","Domo ! {wi}Oh, ma précieuse Domo ! Tu es réparée ! Tu es à nouveau complète !"
SAY.Flowchart.683.,,"{i}Domo's body stirs, and she blinks up at me.{wc}She's still so beautiful, even like this -- no, especially like this. {wi}So beautiful, forever.","{i}Le corps de Domo s'agite, et elle cligne des yeux.{wc}Elle reste tellement belle, même dans cet état -- non, surtout dans cet état. {wi}Si belle pour toujours."
SAY.Flowchart.660.Domo,,...Mimi...,...Mimi...
SAY.Flowchart.661.Mimi,,"I'm here for you! I'm so sorry, Domo! I love you, I didn't mean to-- I never meant to hurt you!","Je suis juste là ! Je suis tellement désolée, Domo ! Je t'aime, je ne voulais pas-- je n'ai jamais voulu te blesser !"
SAY.Flowchart.684.,,{i}Tears start pouring uncontrollably from my eyes now that the stress of fixing her has passed. She simply watches with an unreadable expression.,{i}Je fonds en larmes maintenant que le stress de la réparer est passé. Elle me regarde simplement avec une expression indéchiffrable.
SAY.Flowchart.878.Domo,,Mimi.,Mimi.
SAY.Flowchart.685.Mimi,,Yes..?,Oui..?
SAY.Flowchart.662.Domo,,"...{wc}You know, why is it that you love me?","...{wc}Je me demandais, pourquoi est-ce que tu m'aimes ?"
SAY.Flowchart.690.Mimi,,Why is it??{wc}Because you’re perfect in every way and you’re so good to me. I love you so much. You’re everything I could ever want.,Pourquoi ??{wc}Parce que tu es parfaite et si gentille envers moi. Je t'aime tellement. Tu es tout ce dont je pourrais rêver.
SAY.Flowchart.667.Domo,,No. You’re lying.,Non. Tu mens.
SAY.Flowchart.879.Mimi,,I’m not lying!! I truly love you SO MUCH and you are so special to me. How could I lie about this??,C'est la vérité !! Je t'aime vraiment et tu es spéciale à mes yeux. Comment est-ce que je pourrais mentir là-dessus??
SAY.Flowchart.881.Domo,,You know exactly what I mean.,Tu sais exactement ce que je veux dire.
SAY.Flowchart.884.Mimi,,"Domo, for one second, could you stop being so negative? Could you stop gaslighting me??","Domo, est-ce que tu pourrais arrêter d'être si négative juste une seconde ? Et arrêter d'essayer de me manipuler ??"
SAY.Flowchart.885.Domo,,"But, you know...{wc}I truly loved you. I loved cooking with you. I loved going out to dates with you. {wi}You made me so happy. You pulled me out of a dark, dark place and showed me light. {wi}I loved feeling your skin, your lovely hair, your lips, your everything.{wc}I love accompanying you everywhere -- I loved seeing you giggle whenever we went shopping and found a cute plushie. {wi}Yet... I’m confused about one thing.","Mais, tu sais...{wc}Je t'aimais vraiment. J'adorais cuisiner avec toi. J'adorais faire des sorties avec toi. {wi}Tu m'as rendu si heureuse. Tu m'as sortie d'une période sombre, très sombre et tu m'as montré la lumière. {wi}J'adorais le contact de ta peau, tes magnifiques cheveux, tes lèvres, j'adorais tout chez toi.{wc}J'adorais rester toujours à tes côtés -- j'adorais te voir rire quand on allait faire les course et qu'on trouvait une peluche mignonne. {wi}Pourtant... Quelque chose m'échappe."
SAY.Flowchart.886.Mimi,,"What is there to be confused about? I feel the exact same way, Domo.","De quoi tu parles ? Je ressens exactement la même chose, Domo."
SAY.Flowchart.888.Domo,,No. Not that.{wc}I’m confused as to why...{wi} you keep lying.,Non. Pas ça.{wc}Je ne comprends pas pourquoi...{wi} tu continues de mentir.
SAY.Flowchart.889.Mimi,,"Ugh, not this again.","Pff, c'est repartie."
SAY.Flowchart.891.Domo,,What is it that you truly loved in this relationship?,Qu'est-ce que tu aimais vraiment dans cette relation ?
SAY.Flowchart.892.Mimi,,...,...
SAY.Flowchart.893.Domo,,SAY IT!,DIS-LE !
SAY.Flowchart.895.Mimi,,...I-I did nothing wrong. {wi}I truly did love you. {wi}I just wanted you.,...J-Je n'ai rien fait de mal. {wi}Je t'aimais pour de vrai{wi}Je souhaitais juste t'avoir toi.
SAY.Flowchart.897.Domo,,You won’t even say it. {wi}I know what you want.{wc}You’re an ungrateful bitch that wants nothing but control. ,Tu ne vas même pas le dire. {wi}Je sais ce que tu veux.{wc}Tu es une pute ingrate qui cherche à tout contrôler. 
SAY.Flowchart.898.Mimi,,No.,Non.
SAY.Flowchart.899.Domo,,Someone you can walk all over.,Quelqun qui te laisse lui marcher dessus.
SAY.Flowchart.900.Mimi,,No!,Non !
SAY.Flowchart.901.Domo,,"Someone who loves you, but doesn’t have the agency to leave you.","Quelqu'un qui t'aime, mais qui n'a pas la force de te quitter."
SAY.Flowchart.902.Mimi,,NO!!,NON !!
SAY.Flowchart.905.Domo,,"You have everything you want, and you weren’t even fucking happy.{wc}Nothing ever seems to work out, does it? Just like what happened just now.","Tu as tout ce que tu veux, et tu n'étais même pas putain d'heureuse.{wc}Rien ne semble fonctionner, pas vrai ? Comme ce qui vient juste de se passer."
SAY.Flowchart.906.Mimi,,You don’t know what you’re talking about. I’ve done EVERYTHING for you and this is how you repay me??{wc}YOU’RE the ungrateful bitch! I work my ass off just to fucking feed you!,Tu sais pas de quoi tu parles. J'ai TOUT fait pour toi et c'est comme ça que tu me remercies ??{wc}TU es la pute ingrate ! I Je me casse le cul au travail juste pour te nourir !
SAY.Flowchart.908.Domo,,"...{wc}But, you know...{wc}This wasn't even the first time.{wc}Wow... you couldn’t even prevent it in your own little fantasy. {wi}Have you forgotten what you did only a week before?","...{wc}Mais tu sais...{wc}Ce n'est pas la première fois que ça arive.{wc}Wahou... tu n'as même pu l'empêcher dans ta propre petite fantaisie. {wi}Tu as déjà oublié ce que t’as fait la semaine dernière ?"
SAY.Flowchart.909.Mimi,,Shut it.,Arrête.
SAY.Flowchart.910.Domo,,Look around you.,Regarde autour de toi.
SAY.Flowchart.911.Mimi,,Shut up shut up shut up!,Tais-toi tais-toi tais-toi !
SAY.Flowchart.915.Domo,,You can’t ignore it.,Tu ne peux pas l'ignorer.
SAY.Flowchart.916.Mimi,,SHUT THE FUCK UP!!,FERME-LA !!
SAY.Flowchart.917.,,"{i}I begin to falter. I look down. {wi}A rancid stench emanates through the room. No... no, no, no... what the hell am I holding..?","{i}Je commence à chanceller. Je baisse le regard. {wi}Une odeur putride parcourant la pièce. Non... non, non, non... qu'est-ce que je tiens..?"
SAY.Flowchart.919.Mimi,,"No...no, this can't be!{wc}I didn't... It wasn't my fault!{wc}It wasn’t preventable-- it wasn't my fault! Domo... my Domo...","Non...non, ce n'est pas possible !{wc}Je n'ai pas... Ce n'était pas de ma faute !{wc}C'était inévitable-- ce n'était pas de ma faute ! Domo... ma Domo..."
SAY.Flowchart.922.Mimi,,"It was an accident... I love you, Domo! I loved you too much!{wi} And I made a mistake, but-- I can fix you! I did fix you!","C'était un accident... Je t'aime, Domo ! Je t'aimais trop !{wi} Et j'ai fait une erreur, mais-- je peux te réparer ! Je t'ai réparer !"
SAY.Flowchart.923.,,"{i}Suddenly, Domo’s gaze snaps to me. The next thing I know, her hands are gripping my throat.","{i}Soudainement, Domo me fixe droit dans les yeux.  La seconde d'après, ses mains agrippent ma gorge."
SAY.Flowchart.928.Domo,,This is why nobody will ever love you.{wc}You fucking waste of space.,Voilà pourquoi personne ne t'aimeras jamais.{wc}Ton existence est putain d'inutile.
SAY.Flowchart.929.,,"{i}I try to respond, but I can’t fight her grasp -- as if it was a part of me. I can only make out a few measly sounds as a reply.","{i}J'essaie de répondre, mais je n'arrive pas à lutter contre sa poigne -- comme si c'était une part de moi. J'arrive seulement à produire quelques bruits minables en tant que réponse."
SAY.Flowchart.930.Domo,,They were right. You shouldn’t have loved a woman. Something’s wrong with you. Look how you turned out.,Ils avaient raison. Tu n'aurais pas dû aimer une femme. Quelque chose ne tourne pas rond chez toi. Regarde ce que tu es devenue.
SAY.Flowchart.934.Domo,,This is why your mother decided it was better to kill herself than raise you.,Voilà pourquoi ta mère a préférée se suicider plutôt que de t'élever.
SAY.Flowchart.936.Domo,,All because of YOU.{wc}Because not even a GOD ON THIS EARTH could have the heart to...,Tout est de TA faute.{wc}Même un DIEU n'aurait pas la miséricorde de...
SAY.Flowchart.937.,,{i}{w=10}...Love or forgive me.,{i}{w=10}...T'aimer ou te pardonner.
SAY.Flowchart.940.,,"{i}I can’t stop coughing and choking. I can't get any words out. {w=10}Slowly, {wi}painfully, {wi}my vision begins to fade, and I feel it all drain away.{/w}{wc}But at least... {wi}...Domo.... {wc}Yes... yes, Domo...","{i}Je ne peux pas m'arrêter de tousser et de m'étouffer. Aucun mot ne sort de ma bouche. {w=10}Lentement, {wi}douloureusement, {wi}ma vue commence à s'assombrir, et je sens ma conscience partir.{/w}{wc}Mais au moins... {wi}...Domo.... {wc}Oui... oui, Domo..."
CHARACTER.Domo,,Domo,Domo
CHARACTER.Mimi,,Mimi,Mimi
CHARACTER.Customer,,Customer,Cliente
