Key,Description,Standard,fr
SAY.Flowchart.412.,,"{i}As if on cue, my customer calls me as soon as I sit before my desk. I almost miss the call because of my early morning lethargy.","{i}À peine assise à mon bureau, je reçois l’appel de ma cliente. Je manque presque de décrocher, encore engourdi par la fatigue de mon réveil."
SAY.Flowchart.413.Customer,,Mimi. Are you almost finished with the project?,Mimi. Est-ce que le projet est bientôt prêt ?
SAY.Flowchart.414.Mimi,,Yep! It'll be done today for sure!,Oui ! Il sera terminé aujourd'hui !
SAY.Flowchart.415.Customer,,"Good. You're so close to the end, when all of this will be worth it. {wi}Remember, it has to be perfect.","Bien. Tu es si proche de la fin, où tout cela en vaudra enfin la peine. {wi}Rappelles-toi, ça doit être parfait."
SAY.Flowchart.417.,,"{i}It might just be the lingering sleepiness, but I start to doubt whether or not I'll be able to finish the project as perfectly as the customer wants -- or maybe whether or not I even should.","{i}C’est peut-être juste la fatigue qui s'accumule, mais je commence à douter de ma capacité à terminer ce projet aussi parfaitement que ma cliente le souhaite -- ou même de si je devrais vraiment le faire."
SAY.Flowchart.425.Mimi,,"Hmph, maybe Domo is rubbing off on me...","Hmph, peut-être que Domo commence à détendre sur moi..."
SAY.Flowchart.426.Customer,,"Domo, your little lover...","Domo, ta petite amoureuse..."
SAY.Flowchart.427.Mimi,,Wait -- you know about her?!,Attendez-- vous la connaissez ?!
SAY.Flowchart.429.Mimi,,Huh. I guess I must've mentioned her to you before! I totally forgot if I did!,Ah bon. J’ai dû vous parler d’elle à un moment ! J’ai complètement oublié si je l’ai fait !
SAY.Flowchart.428.Customer,,Are the two of you having disagreements over this project?,"Est-ce que vous avez des désaccords à propos de ce projet, toutes les deux ?"
SAY.Flowchart.432.Mimi,,"Haha, I mean, a little bit! She thinks I've been working too much on it. But what happy couple doesn’t get in little scuffles every so often? It’s normal and completely healthy!","Haha, eh bien, un petit peu ! Elle pense que je travaille trop dessus. Mais quel couple heureux ne se dispute pas de temps en temps ? C'est normal et complétement sain !"
