Key,Description,Standard
SAY.Flowchart.650.Mimi,,"My phone charm! Domo made this for me. Ohh, this is gonna be a bit of a lore dump!{wc}Okay, so -- the number of pearl beads is the number of months we’ve been together. 23 months!!! Almost 2 years... so exciting!{wc}The M is a bit of an inside joke. It’s my initial, but when I first met Domo, I heard her introduce herself as Momo!{wc}I thought she was so cute and I was like, oh my god we even have matching names?? I called her Momo for months, and she never once corrected me! Can you believe it?{wc}Mimi and Momo, the perfect couple...{wc}Oh, and the white rabbit and black cat beads are for us as well! I mean, Domo’s matching the charms with me, so of course everything represents us.{wc}Anyways, I think we’re SOOO the archetype of white rabbit and black cat! Or golden retriever and black cat, but rabbits are better because that’s Domo’s favorite animal and I’m Domo’s favorite!{wc}The last bead is a morning glory. I put it on a week ago. Domo has a yellow chrysanthemum instead."
SAY.Flowchart.42.Mimi,,"Aww, what an adorable bunny!{wc}It’s just like the one on my phone charm."
SAY.Flowchart.157.Mimi,,"Hello, you’ve reached Dermimi’s!"
SAY.Flowchart.158.Customer,,Mimi. How is the project going?
SAY.Flowchart.159.Mimi,,"Pretty well! At my current pace, I should be done by tomorrow!"
SAY.Flowchart.160.Customer,,"Very good.{wc}Just remember, this project is important. {wi}More important than anything you've ever done before."
SAY.Flowchart.165.Mimi,,Oh... what do you mean?
SAY.Flowchart.162.Customer,,"You see your art as a way of bringing the dead back to life? Well, that's how I see it too. {wi}That's what I mean."
SAY.Flowchart.154.,,{i}It’s satisfying to hear someone else share my opinion after Domo had disagreed last night.
SAY.Flowchart.166.Customer,,This has to be perfect. You have to make it perfect.
SAY.Flowchart.167.Mimi,,"Oh, of course! I'll be certain to bring your animals to life as best I can!"
SAY.Flowchart.171.Mimi,,Domo! What’s up?
SAY.Flowchart.172.Domo,,Mimi...
SAY.Flowchart.173.Mimi,,?
SAY.Flowchart.174.Domo,,...
SAY.Flowchart.175.Mimi,,???
SAY.Flowchart.177.Domo,,"...Sorry, I spaced oU--"
SAY.Flowchart.179.Mimi,,Huh?
SAY.Flowchart.183.Domo,,Mimi!? Can you hear me?
SAY.Flowchart.182.Mimi,,"Uh, yeah!"
SAY.Flowchart.191.Domo,,"Oh, good. Sorry, I dropped the phone."
SAY.Flowchart.190.,,"{i}I laugh. She’s always like this, quiet and seemingly icy and cold, but secretly so so clumsy. It’s what makes her so cute!!!"
SAY.Flowchart.192.,,"{i}GAH, I love her so much!!"
SAY.Flowchart.195.Mimi,,So what’s up?
SAY.Flowchart.196.Domo,,The laundry machine broke again...
SAY.Flowchart.197.Mimi,,AGAIN?? Umm...
SAY.Flowchart.198.Domo,,"...Yeah, and the dryer..."
SAY.Flowchart.199.Mimi,,"OH MELON, um, I don’t know if we have the funds to -- "
SAY.Flowchart.202.Domo,,"Wait, don’t worry, I already washed our stuff and hung it up, I just thought I’d let you know."
SAY.Flowchart.203.Mimi,,"...Oh, phew! That’s perfect."
SAY.Flowchart.205.Domo,,"Okay, see you soon then.{wc}Miss you. Please come back soon."
SAY.Flowchart.210.Mimi,,"This looks enough like a polar bear, right? {wi}Wouldn’t that just be perfect if, you know, this was a world created with the theme “polarity”?"
SAY.Flowchart.216.Mimi,,"What is it this time, Domo? "
SAY.Flowchart.218.Domo,,I just... haven’t heard from you in two hours. I wanted to hear your voice again.
SAY.Flowchart.215.Mimi,,"We’re in the same house, you know! If you really miss me that much, you could come up and visit me.{wc}It might be nice to have the extra set of hands around here to help, anyway."
SAY.Flowchart.213.Domo,,...
SAY.Flowchart.219.,,"{i}The other end of the line goes quiet, aside from what sounds like a sigh."
SAY.Flowchart.223.Mimi,,"Well, if you don’t have anything else to say, can I get back to work?"
SAY.Flowchart.221.Domo,,"Fine. Just -- don’t take so long to come back tonight, please. I get so lonely without you..."
SAY.Flowchart.222.,,{i}Normally I’d be flattered and giddy at her admitting how much she misses me. But right now I’m just so focused on my work that it’s more annoying than anything.
SAY.Flowchart.220.Mimi,,"No guarantees! Sorry, Domo."
SAY.Flowchart.225.Mimi,,Love you!
SAY.Flowchart.226.Domo,,"...Love you, too."
SAY.Flowchart.460.Mimi,,"That was a really complicated cat! It turned out well. It reminds me of Domo though, the black cat to my white bunny!"
SAY.Flowchart.936.Mimi,,"This looks enough like a polar bear, right? {wi}Wouldn’t that just be perfect if, you know, this was a world created with the theme “polarity”?"
CHARACTER.Customer,,Customer
CHARACTER.Domo,,Domo
CHARACTER.Mimi,,Mimi
