Key,Description,Standard,fr
SAY.Flowchart (1).7.Mimi,,"Hello~, thank you for calling Dermimi's! You're speaking with Mimi.","Bonjour~, Merci d'avoir appellé Dermimi ! Vous parlez avec Mimi."
SAY.Flowchart (1).8.,,"{i}Today is another day of work at my crafty hobby-turned-business, run out of the first floor of my house.{wc}Right at the morning's start, my phone had begun to ring, and I'd accepted it with giddy excitement that someone was already reaching out to place an order.","{i}Aujourd'hui est une nouvelle journée de travail à mon hobbie-créatif-devenu-business, géré du rez-de-chaussée de chez moi.{wc}Dès le début de la matinée, mon téléphone s’était mis à sonner, et je l’avais décroché, toute excitée à l’idée que quelqu’un cherchait déjà à passer commande."
SAY.Flowchart (1).9.Customer,,"Mimi, right?{wc}I heard you took orders of animals.","Mimi, c'est bien ça ?{wc}J'ai cru comprendre que vous vous occupiez d'animaux."
SAY.Flowchart (1).10.Mimi,,"Oh, sure! I specialize in stuffing animals.","Oui, exactement ! Je me spécialise dans le rembourrage d'animaux."
SAY.Flowchart (1).11.Customer,,"Excellent... Though I must say, this is going to be a larger project. Are you up for it?","Parfait... Mais je dois vous prévenir, ça va être un projet assez important. Vous pouvez le faire ?"
SAY.Flowchart (1).12.Mimi,,Of course! I'm the best around when it comes to this craft. Leave it to me!,Évidemment ! Je suis la meilleure dans mon domaine. Faites-moi confiance !
SAY.Flowchart (1).13.,,"{i}The call ends, and I survey the materials I have to use for this job.{wc}Scissors, thread, stuffing... I have everything I'll need.","{i}L'appel se termine, et je rassemble les matériaux dont j'ai besoin pour ce projet.{wc}Ciseaux, fils, rembourrage... J'ai tout ce qui me faut."
SAY.Flowchart (1).14.Mimi,,"Well, I better get right to work!","Bon, je ferais mieux de me mettre au travail !"
SAY.Flowchart (1).650.Mimi,,"My phone charm! Domo made this for me. Ohh, this is gonna be a bit of a lore dump!{wc}Okay, so -- the number of pearl beads is the number of months we’ve been together. 23 months!!! Almost 2 years... so exciting!{wc}The M is a bit of an inside joke. It’s my initial, but when I first met Domo, I heard her introduce herself as Momo!{wc}I thought she was so cute and I was like, oh my god we even have matching names?? I called her Momo for months, and she never once corrected me! Can you believe it?{wc}Mimi and Momo, the perfect couple...{wc}Oh, and the white rabbit and black cat beads are for us as well! I mean, Domo’s matching the charms with me, so of course everything represents us.{wc}Anyways, I think we’re SOOO the archetype of white rabbit and black cat! Or golden retriever and black cat, but rabbits are better because that’s Domo’s favorite animal and I’m Domo’s favorite!{wc}The last bead is a morning glory. I put it on a week ago. Domo has a yellow chrysanthemum instead.","Le pendentif de mon téléphone ! Domo l'a fait pour moi. Ohh, c'est parti pour une petite explication !{wc}Bon, alors-- le nombre de perles représente le nombre de mois depuis qu'on s'est mises ensemble. 23 mois !!! Presque 2 ans... si excitant !{wc}Le M est un peu une blague entre nous. C'est mon initial, mais quand j'ai rencontré Domo pour la première fois, j'ai entendu Momo quand elle m'a dit son prénom !{wc}Je l'ai trouvé super mignonne et j'étais en mode, oh c'est incroyable on a même des pronoms qui vont ensemble ?? Je l'ai appelé Momo pendant des mois, et elle ne m'a pas corrigé une seule fois ! Tu te rends compte ?{wc}Mimi et Momo, le couple parfait...{wc}Oh, et le lapin blanc et le chat noir sont nous aussi ! Je veux dire, Domo a le même pendentif que moi, donc évidemment que tout nous représente.{wc}Bref, je pense qu’on est TELLEMENT l’archétype du lapin blanc et du chat noir ! Ou du golden retriever et du chat noir, mais les lapins, c’est mieux, parce que c’est l’animal préféré de Domo – et moi, je suis la préférée de Domo !{wc}La dernière perle est une fleur de volubilis. Je l'ai mise la semaine dernière. Domo a une perle de chrysanthème jaune à la place."
SAY.Flowchart (1).16.Mimi,,Huh? Domo!,Hein ? Domo !
SAY.Flowchart (1).18.Domo,,Mimi!,Mimi !
SAY.Flowchart (1).20.Mimi,,"What’s up, Domo?",Qu'est-ce qu'il y a Domo ?
SAY.Flowchart (1).21.,,"{i}I have a feeling this job might take a while, so I’d better start as soon as possible.","{i}J'ai le sentiment que cette commande va me prendre un moment, donc je ferais mieux de commencer aussi tôt que possible."
SAY.Flowchart (1).22.Mimi,,Is it urgent?,C'est urgent ?
SAY.Flowchart (1).23.Domo,,"Oh, no, it’s okay.","Oh, non, pas vraiment."
SAY.Flowchart (1).24.Mimi,,"Okie, call me back later!!","Oki, rapelle-moi plus tard alors !!"
SAY.Flowchart (1).26.Mimi,,Perfect timing!,Ça tombe à pique !
SAY.Flowchart (1).950.Mimi,,So what was up?,Donc qu'est-ce que tu voulais me dire ?
SAY.Flowchart (1).31.Domo,,"Nothing, I just missed you... can you come back?","Rien, tu me manquais... est-ce que tu peux rentrer ?"
SAY.Flowchart (1).28.Mimi,,"Wahhh, I miss you too!!!!{wc}I’ll be back up soon, I just have to clean up.","Wahhh, tu me manques aussi !!!!{wc}Je vais bientôt remonter, il faut juste que je nettoie."
SAY.Flowchart (1).37.Domo,,"It’s fine, I just wanted to see you. I love you.","D'accord, je voulais juste te voir. Je t'aime."
SAY.Flowchart (1).38.Mimi,,"Ahh, I’ll see you soon!{wc}Bye bye then, I love you~~","Ahh, patiente encore un peu!{wc}Bye bye, je t'aime~~"
SAY.Flowchart (1).39.,,{i}I love my girlfriend so much... my heart’s about to explode!!,{i}J'adore tellement ma copine... mon cœur est sur le point d'exploser !!
SAY.Flowchart (1).947.,,"Aww, what an adorable bunny!{wc}It’s just like the one on my phone charm.","Aww, il est trop mignon ce lapin !{wc} Il ressemble à celui sur le pendentif de mon téléphone."
CHARACTER.Domo,,Domo,Domo
SAY.Flowchart.875.,,{i}and forever and ever and ever together. {wi}I love you.,{i}Et encore et encore et encore ensemble. {wi}Je t'aime.
SAY.Flowchart.873.,,{i}forever and ever and ever...,"{i}Pour toujours et à jamais, encore et encore..."
SAY.Flowchart.871.,,{i}and forever... and ever...,{i}et toute l'éternité...
SAY.Flowchart.869.,,{i}We’ll never have to worry about a thing from now on.{wc}I promise to be with you forever...,{i}On a plus besoin de s'inquièter pour quoi que ce soit.{wc}Je promets de rester à tes côtés pour toujours...
SAY.Flowchart.867.,,{i}We'll stay together forever and ever.,{i}On restera ensemble pour toujours et à jamais.
SAY.Flowchart.866.,,"{i}I’m so happy. I promise, Domo, we will be together forever.","{i}Je suis tellement heureuse. Je te promets, Domo, on restera ensemble pour toujours et à jamais."
SAY.Flowchart.865.,,"{i}I hug her eternal body close to mine.{wc}Her skin is cold, and it numbs my mind like ice, sweet whispers of her voice growing louder and louder as my mind shuts down.","{i}Je serre contre moi son corps éternel. Sa peau est froide, et elle engourdit mon esprit comme de la glace, tandis que les doux murmures de sa voix deviennent de plus en plus forts, jusqu’à ce que mon esprit s’éteigne."
SAY.Flowchart.861.,,"Domo, having a piece of you on me makes me the happiest I could ever be. I love you I love you I love you I love you I love you I love you I LOVE YOU!!!","Domo, avoir un bout de toi sur moi est le comble du bonheur. Je t'aime je t'aime je t'aime je t'aime je t'aime je t'aime JE T'AIME !!!"
SAY.Flowchart.860.,,"I’m sorry. I should’ve planned this better. I... I just couldn’t help it. I’m yours, for the rest of eternity...","Je suis désolée. J'aurais dû mieux me préparer. Je... Je ne pouvais juste plus me retenir. Je t'appartiens, pour le reste de l'éternité..."
SAY.Flowchart.858.,,"Domo, I don’t care. This is the best ring I could’ve gotten from you.","Domo, je m'en fiche. C'est la meilleure bague que j'aurais pu recevoir de ta part."
SAY.Flowchart.856.,,"Mimi... I love you so much, Mimi...{wc}I don’t have a ring, but you can take a piece of my hair and wrap it around your finger like an engagement ring. Is that okay?","Mimi... Je t'aime si fort, Mimi...{wc}Je n'ai pas de bague, mais tu peux prendre un de mes cheveux et l'entourer autour de ton doigt comme une bague de fiancaille. Ça ne te dérange pas ?"
SAY.Flowchart.854.,,ABSOLUTELY!!,ABSOLUMENT !!
SAY.Flowchart.853.,,Will you... can we get married? Will you marry me??,Veux-tu... est-ce qu'on peut se marier ? Veux-tu m'épouser ??
SAY.Flowchart.852.,,I love you too!! SO MUCH!,Je t'aime aussi !! TELLEMENT !
SAY.Flowchart.850.,,I love you.,Je t'aime.
SAY.Flowchart.849.,,What’s wrong? Did I do something wrong? Are you okay?,Qu'est-ce qu'il y a ? J'ai fait quelque chose de mal ? Ça va ?
SAY.Flowchart.847.,,..Mimi...,..Mimi...
SAY.Flowchart.846.,,"{i}Domo turns away shyly, as if trying to conceal her feelings.{wc}However, her face betrays her as she turns beet red and smiles ear to ear.","{i}Domo détourne le regard timidement, comme pour essayer de retenir ses sentiments.{wc}Cependant, son visage l'a trahi alors qu'il devient tout rouge avec un sourire jusqu'aux oreilles."
SAY.Flowchart.844.,,I promise we will watch only the TV shows you like!,Je te promets qu'on regardera seulement les émissions que tu aimes !
SAY.Flowchart.843.,,I promise to make all your favorite dishes every day.,Je te promets de préparer tes plats favoris tous les jours.
SAY.Flowchart.842.,,"I promise! Us, together, always! {wi}I love you! My Domo!","Promis ! Nous, ensemble, pour toujours ! {wi}Je t'aime ! Ma Domo !"
SAY.Flowchart.841.,,Promise?,Promis ?
SAY.Flowchart.840.,,Yes! Yesyesyesyes!!!,Oui! Ouiouiouioui !!!
SAY.Flowchart.839.,,"We’ll be here forever, right? {wi}Always?","On restera ici pour toujours, pas vrai ? {wi}À jamais ?"
SAY.Flowchart.837.,,"{i}I kiss her a third time, this time for longer. My mouth tingles, as if tiny little things were crawling in. It’s itchy.","{i}Je l'embrasse une troisième fois, cette fois-ci plus longtemps. Ma bouche me chatouille, comme si de petites choses s'y faufilaient. Ça picote."
MENU.Flowchart.794,,Kiss her on the lips,L'embrasser
SAY.Flowchart.793.,,{i}I kiss her again. I can’t help it; she’s so cute! It makes up for the strange taste.,{i}Je l'embrasse encore. Je ne peux pas m'en empêcher ; elle est si mignonne ! Ça compense ce goût étrange.
MENU.Flowchart.747,,Kiss her on the lips,L'embrasser
SAY.Flowchart.746.,,{i}I kiss her hard. It’s sour; my tongue curls back instinctively.,{i}Je l'embrasse passionnément. C'est amère ; ma langue se rétracte instinctivement.
SAY.Flowchart.650.,,"My phone charm! Domo made this for me. Ohh, this is gonna be a bit of a lore dump!{wc}Okay, so -- the number of pearl beads is the number of months we’ve been together. 23 months!!! Almost 2 years... so exciting!{wc}The M is a bit of an inside joke. It’s my initial, but when I first met Domo, I heard her introduce herself as Momo!{wc}I thought she was so cute and I was like, oh my god we even have matching names?? I called her Momo for months, and she never once corrected me! Can you believe it?{wc}Mimi and Momo, the perfect couple...{wc}Oh, and the white rabbit and black cat beads are for us as well! I mean, Domo’s matching the charms with me, so of course everything represents us.{wc}Anyways, I think we’re SOOO the archetype of white rabbit and black cat! Or golden retriever and black cat, but rabbits are better because that’s Domo’s favorite animal and I’m Domo’s favorite!{wc}The last bead is a morning glory. I put it on a week ago. Domo has a yellow chrysanthemum instead.","Le pendentif de mon téléphone ! Domo l'a fait pour moi. Ohh, c'est parti pour une petite explication !{wc} Bon, alors-- le nombre de perles représente le nombre de mois depuis qu'on s'est mises ensemble. 23 mois !!! Presque 2 ans... si excitant !{wc}Le M est un peu une blague entre nous. C'est mon initial, mais quand j'ai rencontré Domo pour la première fois, j'ai entendu Momo quand elle m'a dit son prénom !{wc} Je l'ai trouvé super mignonne et j'étais en mode, oh c'est incroyable on a même des pronoms qui vont ensemble ?? Je l'ai appelé Momo pendant des mois, et elle ne m'a pas corrigé une seule fois ! Tu te rends compte ?{wc} Mimi et Momo, le couple parfait...{wc} Oh, et le lapin blanc et le chat noir sont nous aussi ! Je veux dire, Domo a le même pendentif que moi, donc évidemment que tout nous représente.{wc} Bref, je pense qu’on est TELLEMENT l’archétype du lapin blanc et du chat noir ! Ou du golden retriever et du chat noir, mais les lapins, c’est mieux, parce que c’est l’animal préféré de Domo – et moi, je suis la préférée de Domo !{wc} La dernière perle est une fleur de volubilis. Je l'ai mise la semaine dernière. Domo a une perle de chrysanthème jaune à la place."
SAY.Flowchart.39.,,{i}I love my girlfriend so much... my heart’s about to explode!!,{i}J'adore tellement ma copine... mon cœur est sur le point d'exploser !!
SAY.Flowchart.38.,,"Ahh, I’ll see you soon!{wc}Bye bye then, I love you~~","Ahh, patiente encore un peu !{wc}Bye bye, je t'aime~~"
SAY.Flowchart.37.,,"It’s fine, I just wanted to see you.","Ça va, je voulais juste te voir."
SAY.Flowchart.31.,,"Nothing, I just missed you.","Rien, tu me manquais juste..."
SAY.Flowchart.28.,,"Wahhh, I miss you too!!!!{wc}I’ll be back up soon, I just need to clean up.","Wahhh, tu me manques aussi !!!!{wc}Je vais bientôt remonter, il faut juste que je nettoie."
SAY.Flowchart.26.,,Perfect timing!{wc}So what was up?,Tu tombes à pique !{wc}Donc qu'est-ce qu'il y a ?
SAY.Flowchart.24.,,"Okie, call me back later!!","Oki, rappelle-moi plus tard alors !!"
SAY.Flowchart.23.,,"Oh, no, it’s okay.","Oh, non, pas vraiment."
SAY.Flowchart.22.,,Is it urgent?,C'est urgent ?
SAY.Flowchart.21.,,"{i}I have a feeling this job might take a while, so I’d better start as soon as possible.","{i}J'ai le sentiment que cette commande va me prendre un moment, donc je ferais mieux de commencer aussi tôt que possible."
SAY.Flowchart.20.,,"What’s up, Domo?",Qu'est-ce qu'il y a Domo ?
SAY.Flowchart.18.,,Mimi!,Mimi !
SAY.Flowchart.16.,,Huh? Domo!,Hein ? Domo !
SAY.Flowchart.14.,,"Well, I better get right to work!","Bon, je ferais mieux de me mettre au travail !"
SAY.Flowchart.13.,,"{i}The call ends, and I survey the materials I have to use for this job.{wc}Scissors, thread, stuffing... I have everything I'll need.","{i}L'appel se termine, et je rassemble les matériaux dont j'ai besoin pour ce projet.{wc}Ciseaux, fils, rembourrage... J'ai tout ce qui me faut."
SAY.Flowchart.12.,,Of course! I'm the best around when it comes to this craft. Leave it to me!,Évidemment ! Je suis la meilleure dans mon domaine. Faites-moi confiance !
SAY.Flowchart.11.,,"Excellent... Though I must say, this is going to be a larger project. Are you up for it?","Parfait... Mais je dois vous prévenir, ça va être un projet assez important. Vous pouvez le faire ?"
SAY.Flowchart.10.,,"Oh, sure! I specialize in stuffing animals.","Oh, c'est ça ! Je me spécialise dans le rembourrage d'animaux."
SAY.Flowchart.9.,,"Mimi, right?{wc}I heard you took orders of animals.","Mimi, c'est bien ça ?{wc}J'ai cru comprendre que vous vous occupiez d'animaux."
SAY.Flowchart.8.,,"{i}Today is another day of work at my crafty hobby-turned-business, run out of the first floor of my house.{wc}Right at the morning's start, my phone had begun to ring, and I'd accepted it with giddy excitement that someone was already reaching out to place an order.","{i}Aujourd'hui est une nouvelle journée de travail à mon hobbie-créatif-devenu-business, géré du rez-de-chaussée de chez moi.{wc}Dès le début de la matinée, mon téléphone s’était mis à sonner, et je l’avais décroché, toute excitée à l’idée que quelqu’un cherchait déjà à passer commande."
SAY.Flowchart.7.,,"Hello~, thank you for calling Dermimi's! You're speaking with Mimi.","Bonjour~, Merci d'avoir appellé Dermimi ! Vous parlez avec Mimi."
SAY.Flowchart.938.,,"Aww, what an adorable bunny!{wc}It’s just like the one on my phone charm.","Aww, il est trop mignon ce lapin !{wc} Il ressemble à celui sur le pendentif de mon téléphone."
CHARACTER.Customer,,Customer,Cliente
CHARACTER.Mimi,,Mimi,Mimi
